uid,site,plot,year,season,location,management,dip_point,total,pipiens,maculipennis,claviger,annulata,morsitans,cantans,caspius,rhyne_dry,rhyne_cleared,exposure,landcover,width,depth,shaded,turbidity,salinity,water_temp,dissolved_oxygen,ph,cover_carex,cover_celery_leaved_buttercup,cover_duckweed,cover_frog_bit,cover_grass,cover_ivy_leaved_duckweed,cover_juncus,cover_marsh_bedstraw,cover_typha,cover_water_parsnip
522,86,1,2009,3,Southlake Moor,Tier3,2,0,0,0,0,0,0,0,0,0,0,3,pasture,2.56,65,0.5,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
523,86,1,2009,3,Southlake Moor,Tier3,3,0,0,0,0,0,0,0,0,0,0,4,pasture,2.56,60,0.5,0.45,0.34,17.28,139,4.91,0,0,1,0,0,0,0,0,0,0
524,86,1,2009,3,Southlake Moor,Tier3,4,0,0,0,0,0,0,0,0,0,0,4,pasture,2.56,50,0.6,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
525,86,1,2009,3,Southlake Moor,Tier3,5,0,0,0,0,0,0,0,0,0,0,4,pasture,2.56,20,0.6,0.45,0.34,18.2,132.6,5.08,0,0,1,0,0,0,0,0,0,0
526,86,1,2009,3,Southlake Moor,Tier3,6,0,0,0,0,0,0,0,0,0,0,4,pasture,2.56,10,0.9,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
527,86,2,2009,3,Southlake Moor,Tier3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,4,rough pasture,2.6,7.5,0.9,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.05,0.5
528,86,2,2009,3,Southlake Moor,Tier3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,4,rough pasture,2.6,7.5,0.9,0.452,0.34,17.02,141.1,6.03,0,0,0,0,0,0,0,0,0.1,0.5
529,86,2,2009,3,Southlake Moor,Tier3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,0,4,rough pasture,2.6,7.5,0.9,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.1,0.5
530,86,2,2009,3,Southlake Moor,Tier3,4,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.6,7.5,0.9,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.05,0.5
531,86,2,2009,3,Southlake Moor,Tier3,5,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.6,10,0.9,0.439,0.33,17.07,140.7,6.2,0,0,0.35,0,0,0,0,0,0,0.5
532,86,2,2009,3,Southlake Moor,Tier3,6,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.6,10,0.9,NA,NA,NA,NA,NA,0,0,0.35,0,0,0,0,0,0,0.5
533,86,3,2009,3,Southlake Moor,Tier3,1,16,2,0,2,12,0,0,0,0,0,4,rough pasture,2,3,0.9,0.497,0.38,17.32,138.6,6.4,0.4,0,0.05,0,0.05,0,0.1,0,0,0
534,86,3,2009,3,Southlake Moor,Tier3,2,16,1,0,2,13,0,0,0,0,0,4,rough pasture,2,2.5555555,0.9,NA,NA,NA,NA,NA,0.4,0,0.05,0,0.05,0,0,0,0,0
535,86,3,2009,3,Southlake Moor,Tier3,3,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2,0,0.9,NA,NA,NA,NA,NA,0.4,0,0.05,0,0.05,0,0.05,0,0,0
536,86,3,2009,3,Southlake Moor,Tier3,4,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2,10,0.9,0.373,0.28,17.5,137.3,6.36,0.4,0,0.05,0,0.05,0,0.05,0,0,0
537,86,3,2009,3,Southlake Moor,Tier3,5,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2,40,0.9,NA,NA,NA,NA,NA,0.4,0,0.05,0,0.05,0,0,0,0,0
538,86,3,2009,3,Southlake Moor,Tier3,6,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2,40,0.9,NA,0.28,17.75,135.3,6.29,0.4,0,0.05,0,0.05,0,0.05,0,0,0
539,86,4,2009,3,Southlake Moor,Tier3,1,5,0,0,1,4,0,0,0,0,0,2,rough pasture,2,10,0.9,0.306,0.23,15.83,141.1,6.38,0.4,0,0.05,0,0,0,0,0,0,0
540,86,4,2009,3,Southlake Moor,Tier3,2,7,0,0,0,7,0,0,0,0,0,4,rough pasture,2,15,0.9,NA,NA,NA,NA,NA,0.4,0,0.05,0,0,0,0,0,0,0
541,86,4,2009,3,Southlake Moor,Tier3,3,1,0,0,0,1,0,0,0,0,0,4,rough pasture,2,5,0.9,0.302,0.22,16.51,145.2,6.11,0.4,0,0.05,0,0,0,0,0,0,0
542,86,4,2009,3,Southlake Moor,Tier3,4,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2,20,0.9,NA,NA,NA,NA,NA,0.4,0,0.05,0.2,0,0,0,0,0.1,0
543,86,4,2009,3,Southlake Moor,Tier3,5,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2,20,0.9,0.288,0.21,16.05,149.1,6.13,0.4,0,0.05,0.1,0,0,0,0,0.15,0
544,86,4,2009,3,Southlake Moor,Tier3,6,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2,15,0.9,NA,NA,NA,NA,NA,0.4,0,0.05,0.1,0,0,0,0,0,0
545,87,1,2009,3,East & West Waste,Tier3,1,0,0,0,0,0,0,0,0,0,0,1,rough pasture,2.5,40,0.2,0.33,0.25,13.19,176.2,6.77,0,0,1,0,0,0,0,0,0,0
546,87,1,2009,3,East & West Waste,Tier3,2,0,0,0,0,0,0,0,0,0,0,1,rough pasture,2.5,40,0.2,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
547,87,1,2009,3,East & West Waste,Tier3,3,0,0,0,0,0,0,0,0,0,0,1,rough pasture,2.5,45,0.25,0.375,0.28,13.39,174,6.67,0,0,1,0,0,0,0,0,0,0
548,87,1,2009,3,East & West Waste,Tier3,4,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.5,45,0.35,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
549,87,1,2009,3,East & West Waste,Tier3,5,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.5,40,0.3,0.422,0.32,13.73,170.5,6.6,0,0,0.95,0,0,0,0,0,0,0
550,87,1,2009,3,East & West Waste,Tier3,6,0,0,0,0,0,0,0,0,0,0,1,rough pasture,2.5,45,0.2,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
551,87,2,2009,3,East & West Waste,Tier3,1,0,0,0,0,0,0,0,0,0,0,1,rough pasture,2.5,NA,0.2,0.319,0.24,13.49,173.1,6.7,0,0,0,0.1,0,0,0.025555555,0,0,0
552,87,2,2009,3,East & West Waste,Tier3,2,0,0,0,0,0,0,0,0,0,0,1,rough pasture,2.5,50,0.25,NA,NA,NA,NA,NA,0,0,0,0.25,0,0,0.05,0,0,0.1
553,87,2,2009,3,East & West Waste,Tier3,3,0,0,0,0,0,0,0,0,0,0,1,rough pasture,2.5,NA,0.3,0.322,0.24,13.54,172.6,6.63,0,0,0,0.1,0,0,0.15,0,0,0
554,87,2,2009,3,East & West Waste,Tier3,4,0,0,0,0,0,0,0,0,0,0,1,rough pasture,2.5,NA,0.25,NA,NA,NA,NA,NA,0,0,0,0.1,0,0,0.15,0,0,0
555,87,2,2009,3,East & West Waste,Tier3,5,0,0,0,0,0,0,0,0,0,0,1,rough pasture,2.5,NA,0.3,0.315,0.24,13.5,173.4,6.65,0,0,0,0.15,0,0,0.1,0,0,0
556,87,2,2009,3,East & West Waste,Tier3,6,0,0,0,0,0,0,0,0,0,0,1,rough pasture,2.5,NA,0.35,NA,NA,NA,NA,NA,0,0,0,0.15,0,0,0.1,0,0,0
557,87,3,2009,3,East & West Waste,Tier3,1,0,0,0,0,0,0,0,0,0,0,5,rough pasture,2.5,30,0.3,0.372,0.28,13.49,173.3,6.82,0,0,0.025555555,0.85,0,0,0,0,0,0
558,87,3,2009,3,East & West Waste,Tier3,2,0,0,0,0,0,0,0,0,0,0,5,rough pasture,2.5,40,0.35,NA,NA,NA,NA,NA,0,0,0.1,0.85,0,0,0,0,0,0
559,87,3,2009,3,East & West Waste,Tier3,3,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.5,70,0.8,0.41,0.31,13.79,170,6.56,0,0,0,0,0.05,0,0,0,0,0
560,87,3,2009,3,East & West Waste,Tier3,4,0,0,0,0,0,0,0,0,0,0,5,rough pasture,2.5,80,0.4,NA,NA,NA,NA,NA,0,0,0.05,0.3,0,0,0,0,0,0
561,87,3,2009,3,East & West Waste,Tier3,5,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.5,50,0.85,0.374,0.23,13.56,172.2,6.58,0,0,0.1,0.1,0,0,0,0,0,0
562,87,3,2009,3,East & West Waste,Tier3,6,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.5,90,0.4,NA,NA,NA,NA,NA,0,0,0.025555555,0.5,0,0,0,0,0,0
563,87,4,2009,3,East & West Waste,Tier3,1,0,0,0,0,0,0,0,0,0,0,1,rough pasture,NA,NA,0.2,0.354,0.26,13.86,169.5,7.04,0,0,0.9,0.1,0,0,0,0,0,0
564,87,4,2009,3,East & West Waste,Tier3,2,0,0,0,0,0,0,0,0,0,0,1,rough pasture,NA,80,0.2,NA,NA,NA,NA,NA,0,0,0.95,0.025555555,0,0,0,0,0,0
565,87,4,2009,3,East & West Waste,Tier3,3,0,0,0,0,0,0,0,0,0,0,1,rough pasture,NA,80,0.2,0.359,0.27,13.62,171.8,6.96,0,0,0.9,0.1,0,0,0,0,0,0
566,87,4,2009,3,East & West Waste,Tier3,4,0,0,0,0,0,0,0,0,0,0,1,rough pasture,NA,90,0.2,NA,NA,NA,NA,NA,0,0,0.95,0.05,0,0,0,0,0,0
567,87,4,2009,3,East & West Waste,Tier3,5,0,0,0,0,0,0,0,0,0,0,1,rough pasture,NA,90,0.2,0.391,0.29,13.91,168.8,6.86,0,0,0.8,0.15,0,0,0,0,0,0
568,87,4,2009,3,East & West Waste,Tier3,6,0,0,0,0,0,0,0,0,0,0,1,rough pasture,NA,NA,0.2,NA,NA,NA,NA,NA,0,0,0.6,0.35,0,0,0,0,0,0
569,88,1,2009,3,Cheddar Moor Drove,Tier1,1,13,2,0,0,11,0,0,0,0,0,4,pasture,2.3,30,1,0.498,0.38,13.29,174,7.31,0,0,0,0,0,0,0,0,0,0
570,88,1,2009,3,Cheddar Moor Drove,Tier1,2,4,2,0,0,2,0,0,0,0,0,4,pasture,2.3,5,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
571,88,1,2009,3,Cheddar Moor Drove,Tier1,3,1,0,0,1,0,0,0,0,0,0,4,pasture,2.3,5,1,0.489,0.37,13.09,177.6,7.36,0,0,0,0,0,0,0,0,0,0
572,88,1,2009,3,Cheddar Moor Drove,Tier1,4,5,0,0,4,1,0,0,0,0,0,4,pasture,2.3,5,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
573,88,1,2009,3,Cheddar Moor Drove,Tier1,5,16,0,0,4,12,0,0,0,0,0,4,pasture,2.3,10,1,0.48,0.36,13.09,177.2,7.04,0,0,0,0,0,0,0,0,0,0
574,88,1,2009,3,Cheddar Moor Drove,Tier1,6,2,0,0,1,1,0,0,0,0,0,4,pasture,2.3,5,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
575,88,2,2009,3,Cheddar Moor Drove,Tier1,1,0,0,0,0,0,0,0,0,0,0,4,pasture,1.7,5,1,0.699,0.54,12.93,178.6,7.4,0,0,0,0,0,0,0,0,0,0
576,88,2,2009,3,Cheddar Moor Drove,Tier1,2,0,0,0,0,0,0,0,0,0,0,4,pasture,1.7,5,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
577,88,2,2009,3,Cheddar Moor Drove,Tier1,3,0,0,0,0,0,0,0,0,0,0,4,pasture,1.7,5,1,0.697,0.53,12.95,178.9,7.05,0,0,0,0,0,0,0,0,0,0
578,88,2,2009,3,Cheddar Moor Drove,Tier1,4,0,0,0,0,0,0,0,0,0,0,4,pasture,1.7,5,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
579,88,2,2009,3,Cheddar Moor Drove,Tier1,5,0,0,0,0,0,0,0,0,0,0,4,pasture,1.7,5,1,0.693,0.53,13.01,178.4,7.14,0,0,0,0,0,0,0,0,0,0
580,88,2,2009,3,Cheddar Moor Drove,Tier1,6,0,0,0,0,0,0,0,0,0,0,4,pasture,1.7,5,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
581,88,3,2009,3,Cheddar Moor Drove,Tier1,1,0,0,0,0,0,0,0,0,0,1,1,pasture,7,NA,0.05,0.456,0.34,15.16,157.2,7.85,0,0,0.025555555,0,0,0,0,0,0,0
582,88,3,2009,3,Cheddar Moor Drove,Tier1,2,0,0,0,0,0,0,0,0,0,1,1,pasture,7,NA,0.05,NA,NA,NA,NA,NA,0,0,0.025555555,0,0,0,0,0,0,0
583,88,3,2009,3,Cheddar Moor Drove,Tier1,3,0,0,0,0,0,0,0,0,0,1,1,pasture,7,NA,0.05,0.456,0.34,15.08,157.7,7.9,0,0,0.025555555,0,0,0,0,0,0,0
584,88,3,2009,3,Cheddar Moor Drove,Tier1,4,0,0,0,0,0,0,0,0,0,1,1,pasture,7,NA,0.05,NA,NA,NA,NA,NA,0,0,0.025555555,0,0,0,0,0,0,0
585,88,3,2009,3,Cheddar Moor Drove,Tier1,5,0,0,0,0,0,0,0,0,0,1,1,pasture,7,NA,0.05,0.459,0.35,15.04,158.1,7.92,0,0,0.025555555,0,0,0,0,0,0,0
586,88,3,2009,3,Cheddar Moor Drove,Tier1,6,0,0,0,0,0,0,0,0,0,1,1,pasture,7,NA,0.05,NA,NA,NA,NA,NA,0,0,0.025555555,0,0,0,0,0,0,0
587,88,4,2009,3,Cheddar Moor Drove,Tier1,1,0,0,0,0,0,0,0,0,0,0,4,pasture,1.5,2.5555555,1,0.522,0.4,13.74,170.5,7.36,0,0,0,0,0,0,0,0,0,0
588,88,4,2009,3,Cheddar Moor Drove,Tier1,2,0,0,0,0,0,0,0,0,0,0,4,pasture,1.5,10,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
589,88,4,2009,3,Cheddar Moor Drove,Tier1,3,0,0,0,0,0,0,0,0,0,0,4,pasture,1.5,2.5555555,1,0.483,0.37,13.46,173.5,7.46,0,0,0,0,0,0,0,0,0,0
590,88,4,2009,3,Cheddar Moor Drove,Tier1,4,0,0,0,0,0,0,0,0,0,0,4,pasture,1.5,10,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
591,88,4,2009,3,Cheddar Moor Drove,Tier1,5,0,0,0,0,0,0,0,0,0,0,4,pasture,1.5,2.5555555,1,0.482,0.36,13.49,173.1,7.37,0,0,0,0,0,0,0,0,0,0
592,88,4,2009,3,Cheddar Moor Drove,Tier1,6,0,0,0,0,0,0,0,0,0,0,4,pasture,1.5,2.5555555,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
593,89,1,2009,3,Tadham Moor,Tier3,1,0,0,0,0,0,0,0,0,0,0,1,pasture,3,40,0.25,0.537,0.41,15.58,153.1,7.11,0,0,0.1,0,0,0,0,0,0,0
594,89,1,2009,3,Tadham Moor,Tier3,2,0,0,0,0,0,0,0,0,0,0,1,pasture,3,40,0.35,NA,NA,NA,NA,NA,0,0,0.35,0,0,0,0,0,0,0
595,89,1,2009,3,Tadham Moor,Tier3,3,1,1,0,0,0,0,0,0,0,0,1,pasture,3,45,0.2,0.522,0.4,15.24,156.4,6.94,0,0,0.85,0,0,0,0,0,0.05,0
596,89,1,2009,3,Tadham Moor,Tier3,4,1,0,0,0,1,0,0,0,0,0,1,pasture,3,50,0.35,NA,NA,NA,NA,NA,0.05,0,0.82,0,0,0,0,0,0.1,0
597,89,1,2009,3,Tadham Moor,Tier3,5,0,0,0,0,0,0,0,0,0,0,1,pasture,3,50,0.3,0.505,0.38,14.87,159.6,7.01,0,0,1,0,0,0,0,0,0,0
598,89,1,2009,3,Tadham Moor,Tier3,6,0,0,0,0,0,0,0,0,0,0,1,pasture,3,50,0.15,NA,NA,NA,NA,NA,0,0,0.95,0,0,0,0,0,0.05,0
599,89,2,2009,3,Tadham Moor,Tier3,1,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,NA,0.15,0.506,0.39,15.47,154.2,7.42,0,0,0.05,0.025555555,0,0,0,0,0.05,0
600,89,2,2009,3,Tadham Moor,Tier3,2,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,60,0.15,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
601,89,2,2009,3,Tadham Moor,Tier3,3,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,NA,0.2,0.551,0.42,15.63,152.8,7.43,0,0,0.05,0.05,0,0,0,0,0,0
602,89,2,2009,3,Tadham Moor,Tier3,4,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,NA,0.15,NA,NA,NA,NA,NA,0,0,0.05,0,0,0,0,0,0.05,0
603,89,2,2009,3,Tadham Moor,Tier3,5,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,NA,0.15,0.558,0.42,15.57,153.3,7.5,0,0,0.025555555,0.05,0,0,0,0,0,0
604,89,2,2009,3,Tadham Moor,Tier3,6,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,NA,0.25,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
605,89,3,2009,3,Tadham Moor,Tier3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,4,rough pasture,3,NA,0.95,0.605,0.46,14.6,162.1,6.95,0.2,0,0,0,0.05,0,0,0,0,0
606,89,3,2009,3,Tadham Moor,Tier3,2,0,0,0,0,0,0,0,0,0,0,4,rough pasture,3,0,0.95,NA,NA,NA,NA,NA,0.2,0,0,0,0,0,0,0,0,0
607,89,3,2009,3,Tadham Moor,Tier3,3,0,0,0,0,0,0,0,0,0,0,4,rough pasture,3,0,0.95,0.54,0.41,15.06,157.8,6.71,0.05,0,0,0,0,0,0,0,0,0
608,89,3,2009,3,Tadham Moor,Tier3,4,1,0,0,0,1,0,0,0,0,0,4,rough pasture,3,0,0.95,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
609,89,3,2009,3,Tadham Moor,Tier3,5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,4,rough pasture,3,NA,0.95,0.542,0.41,14.75,160.8,6.67,0.05,0,0,0,0,0,0,0,0,0
610,89,3,2009,3,Tadham Moor,Tier3,6,NA,NA,NA,NA,NA,NA,NA,NA,1,0,4,rough pasture,3,NA,0.9,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
611,89,4,2009,3,Tadham Moor,Tier3,1,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.15,5,0.95,0.414,0.31,14.58,162.3,7.38,0.05,0,0,0,0,0,0,0,0,0.1
612,89,4,2009,3,Tadham Moor,Tier3,2,3,0,0,3,0,0,0,0,0,0,4,rough pasture,2.15,10,0.95,NA,NA,NA,NA,NA,0.05,0,0,0,0,0,0.025555555,0,0,0.15
613,89,4,2009,3,Tadham Moor,Tier3,3,1,0,0,1,0,0,0,0,0,0,4,rough pasture,2.15,5,0.95,0.416,0.41,14.42,163.8,6.88,0.05,0,0,0,0,0,0.05,0,0,0.1
614,89,4,2009,3,Tadham Moor,Tier3,4,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.15,15,0.95,NA,NA,NA,NA,NA,0.1,0,0,0,0,0,0.05,0,0,0.15
615,89,4,2009,3,Tadham Moor,Tier3,5,1,0,0,1,0,0,0,0,0,0,4,rough pasture,2.15,10,0.95,0.435,0.33,14.44,163.6,6.68,0.15,0,0,0,0,0,0.1,0,0.1,0.15
616,89,4,2009,3,Tadham Moor,Tier3,6,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.15,10,0.95,NA,NA,NA,NA,NA,0.1,0,0,0,0,0,0.1,0,0.2,0.1
617,90,1,2009,3,Moorlinch,Tier3,1,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,70,0.25,0.403,0.3,17.7,135.9,7.02,0,0,0,0.15,0,0.3,0,0,0.05,0
618,90,1,2009,3,Moorlinch,Tier3,2,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,80,0.15,NA,NA,NA,NA,NA,0,0,0,0.05,0,0.05,0,0,0,0
619,90,1,2009,3,Moorlinch,Tier3,3,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,80,0.25,0.442,0.33,15.7,152.2,7.2,0.025555555,0,0,0.025555555,0,0.1,0,0,0,0
620,90,1,2009,3,Moorlinch,Tier3,4,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,NA,0.25,NA,NA,NA,NA,NA,0.05,0,0,0.025555555,0,0.025555555,0.05,0,0,0
621,90,1,2009,3,Moorlinch,Tier3,5,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,80,0.2,0.405,0.3,14.72,161.1,7.24,0,0,0,0.025555555,0,0.025555555,0,0,0,0
622,90,1,2009,3,Moorlinch,Tier3,6,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,80,0.25,NA,NA,NA,NA,NA,0.05,0,0,0.05,0,0,0,0,0,0
623,90,2,2009,3,Moorlinch,Tier3,1,0,0,0,0,0,0,0,0,0,0,4,rough pasture,1.7,20,0.8,0.516,0.39,14.07,167.8,6.82,0.05,0,0.05,0.05,0,0,0,0,0.2,0
624,90,2,2009,3,Moorlinch,Tier3,2,0,0,0,0,0,0,0,0,0,0,4,rough pasture,1.7,30,0.8,NA,NA,NA,NA,NA,0.1,0,0,0.1,0,0,0,0,0,0.1
625,90,2,2009,3,Moorlinch,Tier3,3,1,0,1,0,0,0,0,0,0,0,4,rough pasture,1.7,40,0.7,0.516,0.39,15.63,156.2,6.79,0.2,0,0.025555555,0.05,0,0,0,0,0,0.05
626,90,2,2009,3,Moorlinch,Tier3,4,1,0,0,1,0,0,0,0,0,0,4,rough pasture,1.7,40,0.9,NA,NA,NA,NA,NA,0.3,0,0,0.05,0,0,0,0,0,0.05
627,90,2,2009,3,Moorlinch,Tier3,5,0,0,0,0,0,0,0,0,0,0,4,rough pasture,1.7,20,0.5,0.517,0.39,16.78,143.4,7.08,0.1,0,0,0.2,0,0,0,0,0,0.025555555
628,90,2,2009,3,Moorlinch,Tier3,6,0,0,0,0,0,0,0,0,0,0,4,rough pasture,1.7,50,0.3,NA,NA,NA,NA,NA,0.05,0,0,0.3,0,0,0,0,0,0.025555555
629,90,3,2009,3,Moorlinch,Tier3,1,2,0,2,0,0,0,0,0,0,0,1,rough pasture,3,70,0.1,0.519,0.39,15.17,157.12,7.54,0.05,0,0,0,0,0,0,0,0,0
630,90,3,2009,3,Moorlinch,Tier3,2,1,0,1,0,0,0,0,0,0,0,4,rough pasture,3,60,0.4,NA,NA,NA,NA,NA,0.1,0,0,0.05,0,0,0,0,0,0
631,90,3,2009,3,Moorlinch,Tier3,3,1,0,1,0,0,0,0,0,0,0,1,rough pasture,3,50,0.2,0.507,0.38,15.91,150.9,7.63,0.025555555,0,0,0.025555555,0,0,0,0,0,0
632,90,3,2009,3,Moorlinch,Tier3,4,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,NA,0.15,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
633,90,3,2009,3,Moorlinch,Tier3,5,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,NA,0.15,0.512,0.39,17.91,139.8,7.55,0,0,0,0,0,0,0,0,0,0
634,90,3,2009,3,Moorlinch,Tier3,6,0,0,0,0,0,0,0,0,0,0,1,rough pasture,3,NA,0.25,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
635,90,4,2009,3,Moorlinch,Tier3,1,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.3,20,0.5,0.468,0.35,14.98,158.7,7.6,0,0,0.7,0,0,0,0.05,0,0,0.05
636,90,4,2009,3,Moorlinch,Tier3,2,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.3,35,0.5,NA,NA,NA,NA,NA,0,0,0.7,0,0,0,0.025555555,0,0,0.025555555
637,90,4,2009,3,Moorlinch,Tier3,3,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.3,50,0.4,0.48,0.38,14.89,159.6,7.23,0,0,0.7,0.1,0,0,0,0,0,0.025555555
638,90,4,2009,3,Moorlinch,Tier3,4,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.3,40,0.3,NA,NA,NA,NA,NA,0.025555555,0,0.6,0.15,0,0,0,0,0,0.025555555
639,90,4,2009,3,Moorlinch,Tier3,5,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.3,40,0.4,0.434,0.37,14.25,165.7,6.75,0,0,0.4,0.35,0,0,0,0,0,0.025555555
640,90,4,2009,3,Moorlinch,Tier3,6,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2.3,40,0.4,NA,NA,NA,NA,NA,0,0,0.5,0.25,0,0,0,0,0,0.025555555
641,91,1,2009,3,King Sedgemoor,Tier3,1,0,0,0,0,0,0,0,0,0,0,2,rough pasture,1.2,20,0.9,0.889,0.69,14.28,165.2,6.68,0,0,0.98,0,0,0,0,0,0,0
642,91,1,2009,3,King Sedgemoor,Tier3,2,5,0,0,0,5,0,0,0,0,0,2,rough pasture,1.2,20,0.8,NA,NA,NA,NA,NA,0,0,0.99,0,0,0,0,0,0,0
643,91,1,2009,3,King Sedgemoor,Tier3,3,267,0,1,1,265,0,0,0,0,0,2,rough pasture,1.2,15,0.9,0.826,0.64,14.22,165.6,6.9,0,0,0.15,0,0,0,0,0,0,0
644,91,1,2009,3,King Sedgemoor,Tier3,4,1,0,0,0,1,0,0,0,0,0,2,rough pasture,1.2,20,0.7,NA,NA,NA,NA,NA,0,0,0.95,0,0,0,0,0,0,0
645,91,1,2009,3,King Sedgemoor,Tier3,5,0,0,0,0,0,0,0,0,0,0,2,rough pasture,1.2,20,0.8,0.801,0.62,14.3,165.1,7,0,0,0.98,0,0,0,0,0,0,0
646,91,1,2009,3,King Sedgemoor,Tier3,6,0,0,0,0,0,0,0,0,0,0,2,rough pasture,1.2,15,0.7,NA,NA,NA,NA,NA,0,0,0.99,0,0,0,0,0,0,0
647,91,2,2009,3,King Sedgemoor,Tier3,1,0,0,0,0,0,0,0,0,0,0,1,rough pasture,1.8,20,0.25,0.945,0.73,15.5,154,7.24,0,0,0,0.45,0,0.4,0,0,0,0
648,91,2,2009,3,King Sedgemoor,Tier3,2,0,0,0,0,0,0,0,0,0,0,4,rough pasture,1.8,25,0.5,NA,NA,NA,NA,NA,0.05,0,0,0.4,0,0.4,0,0,0.1,0
649,91,2,2009,3,King Sedgemoor,Tier3,3,1,0,0,0,1,0,0,0,0,0,1,rough pasture,1.8,30,0.3,0.95,0.74,16.54,145,7.28,0,0,0,0.43,0,0.42,0,0,0.1,0
650,91,2,2009,3,King Sedgemoor,Tier3,4,0,0,0,0,0,0,0,0,0,0,4,rough pasture,1.8,30,0.5,NA,NA,NA,NA,NA,0,0,0,0.38,0,0.37,0,0,0.25,0
651,91,2,2009,3,King Sedgemoor,Tier3,5,0,0,0,0,0,0,0,0,0,0,1,rough pasture,1.8,30,0.3,0.948,0.74,17.2,139.8,7.34,0,0,0,0.375,0,0.375,0,0,0.05,0.1
652,91,2,2009,3,King Sedgemoor,Tier3,6,0,0,0,0,0,0,0,0,0,0,4,rough pasture,1.8,30,0.7,NA,NA,NA,NA,NA,0,0,0,0.15,0,0.3,0,0,0.2,0
